순,이름,팀,WAR,출장,완투,완봉,선발,승,패,세,홀드,이닝,실점,자책,타자,안타,2타,3타,홈런,볼넷,고4,사구,삼진,보크,폭투,ERA,FIP,WHIP,ERA+,FIP+,WAR(need to drop),WPA
636,카스티요,16한,0.71,20,0,0,15,7,4,0,0,84.0,62,60,393,106,14,0,7,40,0,10,60,0,4,6.43,5.23,1.74,81.7,100.0,0.71,-2.07
637,송신영,15넥,0.71,18,0,0,16,7,4,0,0,69.0,42,41,298,77,14,1,12,22,0,2,46,0,2,5.35,5.59,1.44,93.1,89.3,0.71,-1.19
638,김건국,20롯,0.70,32,0,0,0,3,2,0,1,31.2,14,14,139,30,5,2,2,9,0,3,31,0,4,3.98,3.56,1.23,122.4,134.6,0.70,-0.22
639,고효준,19롯,0.70,75,0,0,0,2,7,0,15,62.1,34,33,280,58,13,1,6,36,6,3,72,0,11,4.76,3.93,1.51,88.0,106.2,0.70,-1.37
640,정대현,15롯,0.70,19,0,0,0,2,1,3,3,18.1,6,6,77,16,2,0,3,7,0,2,17,0,2,2.95,5.36,1.26,171.1,92.2,0.70,-0.09
641,김광수,16K,0.70,54,0,0,0,2,6,7,14,52.1,31,30,241,67,10,1,5,22,1,0,39,0,2,5.16,4.75,1.70,100.4,109.9,0.70,-0.07
642,오원석,22S,0.70,31,0,0,24,6,8,0,0,144.0,79,72,633,158,21,2,16,58,1,3,112,0,6,4.50,4.48,1.50,92.5,93.6,0.70,-0.91
643,홍정우,22삼,0.70,26,0,0,0,5,2,0,1,26.2,10,9,111,19,6,0,3,13,4,0,20,0,0,3.04,4.31,1.20,137.4,96.3,0.70,-0.73
644,이영준,20키,0.70,52,0,0,0,2,3,0,25,40.0,21,21,176,41,3,0,5,19,0,2,32,1,3,4.73,5.16,1.50,99.9,89.8,0.70,0.70
645,박종훈,16S,0.69,28,0,0,28,8,13,0,0,140.0,102,88,650,141,24,3,17,91,0,23,104,0,4,5.66,6.33,1.66,92.3,82.6,0.69,-2.50
646,박진우,18N,0.69,11,0,0,1,1,0,0,1,19.2,8,8,80,18,2,0,2,5,1,2,15,0,0,3.66,4.55,1.17,141.8,115.5,0.69,0.05
647,김대유,19K,0.69,21,0,0,0,0,0,0,0,27.0,7,7,111,21,6,0,1,12,1,4,23,0,0,2.33,3.85,1.22,177.4,107.6,0.69,0.21
648,하영민,16넥,0.69,11,0,0,1,1,1,0,1,28.2,12,10,121,33,11,1,2,9,0,2,15,0,1,3.14,4.80,1.47,167.3,107.9,0.69,-0.28
649,최동환,22L,0.69,47,0,0,0,0,1,0,0,50.0,23,23,210,45,7,1,5,17,0,1,30,0,3,4.14,4.52,1.24,96.0,87.5,0.69,0.04
650,이창재,21K,0.68,32,0,0,0,2,0,0,0,26.2,8,8,108,22,5,0,0,10,2,0,19,0,0,2.70,2.81,1.20,166.4,158.6,0.68,0.23
651,최동환,18L,0.68,28,0,0,0,1,0,0,1,37.0,19,19,156,33,7,0,6,11,0,3,28,0,4,4.62,5.56,1.19,109.1,89.5,0.68,-0.01
652,홍성용,18K,0.68,56,0,0,0,2,1,1,6,45.0,28,27,202,49,14,1,7,16,0,5,42,0,2,5.40,5.39,1.44,98.1,96.3,0.68,0.04
653,류희운,18K,0.68,29,0,0,2,1,1,0,1,44.0,25,24,195,53,11,0,11,14,0,2,28,0,3,4.91,6.90,1.52,107.9,75.1,0.68,-0.28
654,라이블리,21삼,0.66,7,0,0,7,0,1,0,0,33.1,16,15,140,23,6,0,4,13,0,5,38,0,0,4.05,4.23,1.08,111.5,107.0,0.66,0.33
655,김범수,22한,0.66,78,0,0,0,3,7,0,27,66.0,36,32,289,64,13,0,5,35,5,3,58,0,2,4.36,4.07,1.50,92.8,100.4,0.66,-1.05
