순,이름,팀,WAR*,G,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,wOBA,wRC+,WAR*,WPA
155,이대호,18롯DH,3.84,144,604,543,81,181,30,0,37,322,125,0,1,43,14,7,75,18,0,4,.333,.394,.593,.987,.415,142.3,3.84,4.34
156,김하성,16넥SS,3.81,144,599,526,92,148,29,7,20,251,84,28,15,60,6,2,80,7,2,5,.281,.359,.477,.836,.370,104.8,3.81,1.12
157,손아섭,15롯RF,3.80,116,517,445,86,141,28,1,13,210,54,11,6,68,1,3,96,6,0,3,.317,.406,.472,.878,.395,131.1,3.80,1.87
158,김재호,18두SS,3.79,131,467,402,78,125,20,0,16,193,75,6,2,52,4,1,77,12,3,6,.311,.390,.480,.870,.379,124.5,3.79,1.69
159,푸이그,22키RF,3.78,126,547,473,65,131,30,0,21,224,73,6,3,58,12,1,100,6,0,4,.277,.368,.474,.841,.382,143.4,3.78,1.35
160,박건우,20두RF,3.78,129,551,487,103,148,40,0,14,230,70,8,2,42,12,2,65,9,3,7,.304,.369,.472,.841,.375,126.5,3.78,1.67
161,한동희,22롯3B,3.77,129,499,456,43,140,27,0,14,209,65,0,0,33,6,2,64,15,0,4,.307,.359,.458,.817,.372,129.2,3.77,0.32
162,에반스,16두DH,3.76,118,481,400,69,123,31,0,24,226,81,0,0,69,5,0,90,10,0,7,.308,.410,.565,.975,.425,150.6,3.76,3.29
163,노시환,21한3B,3.75,107,458,380,56,103,18,1,18,177,84,5,2,73,1,9,107,15,0,4,.271,.387,.466,.852,.387,131.8,3.75,1.82
164,이정후,18넥RF,3.75,109,520,459,81,163,34,2,6,219,57,11,4,42,8,3,58,5,3,8,.355,.412,.477,.889,.391,127.4,3.75,2.90
165,한유섬,17SRF,3.73,103,414,350,64,103,21,2,29,215,73,2,2,46,15,2,79,8,0,3,.294,.396,.614,1.010,.426,149.7,3.73,2.95
166,박용택,17LLF,3.73,138,596,509,83,175,23,2,14,244,90,4,2,72,6,6,88,13,0,9,.344,.425,.479,.904,.402,140.1,3.73,5.62
